date	open	high	close	low	volume	price_change	p_change	ma5	ma10	ma20	v_ma5	v_ma10	v_ma20	turnover
2016-03-23	10.3	10.98	10.74	10.23	648646.0	0.36	3.47	10.298	9.559	9.306	846771.45	542046.58	440657.59	3.26
2016-03-22	10.4	10.7	10.38	10.33	644670.81	-0.41	-3.8	9.906	9.377	9.258	750619.47	508754.93	421875.09	3.24
2016-03-21	10.22	11.0	10.8	10.17	1019036.38	0.77	7.68	9.606	9.281	9.222	671581.3	481480.6	404539.58	5.13
2016-03-18	9.47	10.38	10.03	9.35	1063307.25	0.5	5.25	9.262	9.159	9.176	543946.04	428943.26	374506.62	5.35
2016-03-17	8.8	9.65	9.54	8.79	858196.81	0.77	8.78	8.996	9.094	9.15	360686.87	373535.68	336388.65	4.32
2016-03-16	8.92	9.03	8.78	8.7	167886.08	-0.09	-1.01	8.82	9.117	9.149	237321.71	326760.76	310405.72	0.84
2016-03-15	9.04	9.09	8.88	8.8	249480.0	-0.21	-2.31	8.848	9.128	9.195	266890.4	340040.51	319462.56	1.26
2016-03-14	8.78	9.36	9.08	8.78	380860.06	0.39	4.49	8.956	9.095	9.238	291379.9	334949.23	326923.27	1.92
2016-03-11	8.6	8.76	8.7	8.44	147011.39	0.04	0.46	9.056	9.011	9.242	313940.48	320660.71	317113.4	0.74
2016-03-10	8.9	8.98	8.66	8.6	241371.02	-0.25	-2.81	9.192	9.034	9.268	386384.49	325530.09	328838.61	1.21
2016-03-09	9.0	9.16	8.92	8.8	315729.53	-0.49	-5.21	9.414	9.053	9.308	416199.81	339268.6	330204.42	1.59
2016-03-08	9.41	9.5	9.42	8.8	371927.5	-0.17	-1.77	9.408	9.138	9.291	413190.62	334995.24	323190.02	1.87
2016-03-07	9.33	9.87	9.58	9.33	493662.97	0.19	2.02	9.234	9.163	9.252	378518.56	327598.56	315498.21	2.48
2016-03-04	9.8	9.8	9.38	9.1	509231.44	-0.39	-3.99	8.966	9.193	9.191	327380.93	320069.97	300113.38	2.56
2016-03-03	8.85	9.77	9.77	8.81	390447.59	0.89	10.02	8.876	9.205	9.15	264675.7	299241.61	283873.18	1.96
2016-03-02	8.51	8.97	8.89	8.43	300683.59	0.33	3.85	8.692	9.181	9.071	262337.39	294050.69	272396.55	1.51
2016-03-01	8.3	8.68	8.55	8.15	198567.2	0.3	3.64	8.868	9.261	9.067	256799.87	298884.62	268019.18	1.0
2016-02-29	8.91	8.91	8.24	8.03	237974.84	-0.68	-7.62	9.092	9.38	9.084	276678.56	318897.31	270673.77	1.2
2016-02-26	8.93	9.1	8.93	8.6	195705.27	0.07	0.79	9.42	9.472	9.165	312759.02	313566.08	264382.8	0.98
2016-02-25	9.7	9.72	8.85	8.79	378756.06	-0.92	-9.42	9.534	9.502	9.209	333807.52	332147.13	262267.2	1.91
2016-02-24	9.6	9.78	9.77	9.45	272995.97	0.09	0.93	9.67	9.562	9.247	325763.99	321140.24	254608.76	1.37
2016-02-23	9.87	9.87	9.67	9.47	297960.66	-0.17	-1.73	9.654	9.443	9.265	340969.36	311384.79	252417.98	1.5
